"","X","ID","Sample.No","locus","index","well","site","C","T","total","C_Ratio","age","Sex","Population","ind"
"513",658,"B01","kw93-39","BDNF","3H","BDNF_3H_S24_sort.bam","BDNF_37",7,10156,10163,0.000688773000098396,41,"M","NR","3H"
"514",659,"B01","kw93-39","BDNF","3H","BDNF_3H_S24_sort.bam","BDNF_45",9,10060,10069,0.000893832555367961,41,"M","NR","3H"
"523",673,"B01","kw93-39","ACTB","9H","ACTB_9H_S72_sort.bam","ACTB_65",1079,13133,14212,0.0759217562623135,41,"M","NR","9H"
"524",674,"B01","kw93-39","ACTB","9H","ACTB_9H_S72_sort.bam","ACTB_71",3,14202,14205,0.000211193241816262,41,"M","NR","9H"
"525",675,"B01","kw93-39","ACTB","9H","ACTB_9H_S72_sort.bam","ACTB_74",5,14208,14213,0.000351790614226412,41,"M","NR","9H"
"526",683,"B01","kw93-39","CRF","3H","CRF_3H_S24_sort.bam","CRF_49",21,320,341,0.06158357771261,41,"M","NR","3H"
"527",684,"B01","kw93-39","CRF","3H","CRF_3H_S24_sort.bam","CRF_73",55,287,342,0.160818713450292,41,"M","NR","3H"
"528",685,"B01","kw93-39","CRF","3H","CRF_3H_S24_sort.bam","CRF_92",32,310,342,0.0935672514619883,41,"M","NR","3H"
"529",686,"B01","kw93-39","CRF","3H","CRF_3H_S24_sort.bam","CRF_95",40,302,342,0.116959064327485,41,"M","NR","3H"
"530",687,"B01","kw93-39","CRF","3H","CRF_3H_S24_sort.bam","CRF_113",131,211,342,0.383040935672515,41,"M","NR","3H"
"538",695,"B01","kw93-39","ACTB","9H","ACTB_9H_S72_sort.bam","ACTB_29",5,14090,14095,0.000354735721887194,41,"M","NR","9H"
"539",696,"B01","kw93-39","ACTB","9H","ACTB_9H_S72_sort.bam","ACTB_36",3,14107,14110,0.000212615166548547,41,"M","NR","9H"
"540",697,"B01","kw93-39","ACTB","9H","ACTB_9H_S72_sort.bam","ACTB_49",3,14193,14196,0.000211327134404057,41,"M","NR","9H"
"541",698,"B01","kw93-39","ACTB","9H","ACTB_9H_S72_sort.bam","ACTB_51",4,14192,14196,0.000281769512538743,41,"M","NR","9H"
"542",699,"B01","kw93-39","ACTB","9H","ACTB_9H_S72_sort.bam","ACTB_54",0,14200,14200,0,41,"M","NR","9H"
"543",700,"B01","kw93-39","BDNF","3H","BDNF_3H_S24_sort.bam","BDNF_48",1,10164,10165,9.83767830791933e-05,41,"M","NR","3H"
"544",701,"B01","kw93-39","BDNF","3H","BDNF_3H_S24_sort.bam","BDNF_51",593,9572,10165,0.0583374323659616,41,"M","NR","3H"
"545",702,"B01","kw93-39","BDNF","3H","BDNF_3H_S24_sort.bam","BDNF_57",3,10183,10186,0.000294521892794031,41,"M","NR","3H"
"546",703,"B01","kw93-39","BDNF","3H","BDNF_3H_S24_sort.bam","BDNF_81",1,10184,10185,9.81836033382425e-05,41,"M","NR","3H"
"549",708,"B01","kw93-39","CRF","3H","CRF_3H_S24_sort.bam","CRF_27",20,317,337,0.0593471810089021,41,"M","NR","3H"
"550",709,"B01","kw93-39","CRF","3H","CRF_3H_S24_sort.bam","CRF_33",25,314,339,0.0737463126843658,41,"M","NR","3H"
"551",715,"B10","kw94-18","ACTB","10A","ACTB_10A_S73_sort.bam","ACTB_54",2076,10143,12219,0.169899337097962,15,"M","NR","10A"
"552",716,"B10","kw94-18","ACTB","10A","ACTB_10A_S73_sort.bam","ACTB_36",5,12149,12154,0.00041138719763041,15,"M","NR","10A"
"553",717,"B10","kw94-18","ACTB","10A","ACTB_10A_S73_sort.bam","ACTB_65",4,12219,12223,0.000327251902151681,15,"M","NR","10A"
"555",719,"B10","kw94-18","CRF","4A","CRF_4A_S25_sort.bam","CRF_95",117,179,296,0.39527027027027,15,"M","NR","4A"
"556",720,"B10","kw94-18","ACTB","10A","ACTB_10A_S73_sort.bam","ACTB_49",1,12205,12206,8.19269211863018e-05,15,"M","NR","10A"
"557",721,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_160",68,1734,1802,0.0377358490566038,15,"M","NR","4A"
"558",722,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_165",36,1763,1799,0.0200111172873819,15,"M","NR","4A"
"574",741,"B10","kw94-18","ACTB","10A","ACTB_10A_S73_sort.bam","ACTB_71",2,12219,12221,0.000163652728909255,15,"M","NR","10A"
"575",742,"B10","kw94-18","ACTB","10A","ACTB_10A_S73_sort.bam","ACTB_51",2,12206,12208,0.000163826998689384,15,"M","NR","10A"
"576",743,"B10","kw94-18","ACTB","10A","ACTB_10A_S73_sort.bam","ACTB_29",1,12140,12141,8.23655382587925e-05,15,"M","NR","10A"
"577",744,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_148",26,1606,1632,0.0159313725490196,15,"M","NR","4A"
"579",746,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_92",1,2048,2049,0.000488042947779405,15,"M","NR","4A"
"580",747,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_132",31,1973,2004,0.0154690618762475,15,"M","NR","4A"
"581",749,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_151",6,1791,1797,0.00333889816360601,15,"M","NR","4A"
"582",750,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_154",7,1794,1801,0.00388672959466963,15,"M","NR","4A"
"583",751,"B10","kw94-18","ACTB","10A","ACTB_10A_S73_sort.bam","ACTB_74",6,12217,12223,0.000490877853227522,15,"M","NR","10A"
"585",753,"B10","kw94-18","BDNF","4A","BDNF_4A_S25_sort.bam","BDNF_37",827,14488,15315,0.0539993470453803,15,"M","NR","4A"
"586",754,"B10","kw94-18","BDNF","4A","BDNF_4A_S25_sort.bam","BDNF_45",9,15117,15126,0.000595001983339944,15,"M","NR","4A"
"587",756,"B10","kw94-18","BDNF","4A","BDNF_4A_S25_sort.bam","BDNF_51",797,14517,15314,0.0520438814156981,15,"M","NR","4A"
"590",759,"B10","kw94-18","BDNF","4A","BDNF_4A_S25_sort.bam","BDNF_48",26,15284,15310,0.00169823644676682,15,"M","NR","4A"
"591",760,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_157",4,1800,1804,0.00221729490022173,15,"M","NR","4A"
"598",769,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_90",0,2055,2055,0,15,"M","NR","4A"
"599",770,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_66",1,2076,2077,0.000481463649494463,15,"M","NR","4A"
"609",782,"B10","kw94-18","CRF","4A","CRF_4A_S25_sort.bam","CRF_27",31,262,293,0.10580204778157,15,"M","NR","4A"
"610",783,"B10","kw94-18","CRF","4A","CRF_4A_S25_sort.bam","CRF_33",50,243,293,0.170648464163823,15,"M","NR","4A"
"611",784,"B10","kw94-18","CRF","4A","CRF_4A_S25_sort.bam","CRF_49",24,271,295,0.0813559322033898,15,"M","NR","4A"
"612",785,"B10","kw94-18","CRF","4A","CRF_4A_S25_sort.bam","CRF_73",14,281,295,0.0474576271186441,15,"M","NR","4A"
"613",786,"B10","kw94-18","CRF","4A","CRF_4A_S25_sort.bam","CRF_92",22,273,295,0.0745762711864407,15,"M","NR","4A"
"615",788,"B10","kw94-18","CRF","4A","CRF_4A_S25_sort.bam","CRF_113",196,99,295,0.664406779661017,15,"M","NR","4A"
"619",792,"B10","kw94-18","BDNF","4A","BDNF_4A_S25_sort.bam","BDNF_26",2228,12461,14689,0.15167812648921,15,"M","NR","4A"
"624",797,"B10","kw94-18","BDNF","4A","BDNF_4A_S25_sort.bam","BDNF_57",328,14987,15315,0.021416911524649,15,"M","NR","4A"
"625",798,"B10","kw94-18","BDNF","4A","BDNF_4A_S25_sort.bam","BDNF_81",0,15245,15245,0,15,"M","NR","4A"
"631",808,"B10","kw94-18","NP","4A","NP_4A_S25_merge.bam","NP_45",118,1959,2077,0.0568127106403467,15,"M","NR","4A"
"635",817,"C03","kw97-4","BDNF","4B","BDNF_4B_S26_sort.bam","BDNF_45",4,20006,20010,0.000199900049975012,43,"M","NR","4B"
"636",818,"C03","kw97-4","BDNF","4B","BDNF_4B_S26_sort.bam","BDNF_48",650,19587,20237,0.0321193852843801,43,"M","NR","4B"
"638",820,"C03","kw97-4","BDNF","4B","BDNF_4B_S26_sort.bam","BDNF_81",697,19395,20092,0.0346904240493729,43,"M","NR","4B"
"640",822,"C03","kw97-4","BDNF","4B","BDNF_4B_S26_sort.bam","BDNF_51",1661,18575,20236,0.0820814390195691,43,"M","NR","4B"
"641",823,"C03","kw97-4","BDNF","4B","BDNF_4B_S26_sort.bam","BDNF_37",1228,19008,20236,0.0606839296303617,43,"M","NR","4B"
"642",824,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_90",12,1729,1741,0.00689259046524986,43,"M","NR","4B"
"643",825,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_165",30,1484,1514,0.0198150594451783,43,"M","NR","4B"
"645",827,"C03","kw97-4","BDNF","4B","BDNF_4B_S26_sort.bam","BDNF_57",7,20212,20219,0.000346209011325981,43,"M","NR","4B"
"647",829,"C03","kw97-4","ACTB","10B","ACTB_10B_S74_sort.bam","ACTB_29",21,19848,19869,0.00105692284463234,43,"M","NR","10B"
"648",830,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_92",27,1711,1738,0.0155350978135788,43,"M","NR","4B"
"649",831,"C03","kw97-4","BDNF","4B","BDNF_4B_S26_sort.bam","BDNF_26",2887,16784,19671,0.146764272278989,43,"M","NR","4B"
"650",832,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_66",16,1751,1767,0.00905489530277306,43,"M","NR","4B"
"651",833,"C03","kw97-4","ACTB","10B","ACTB_10B_S74_sort.bam","ACTB_54",476,19982,20458,0.0232671815426728,43,"M","NR","10B"
"652",834,"C03","kw97-4","ACTB","10B","ACTB_10B_S74_sort.bam","ACTB_65",137,20529,20666,0.00662924610471306,43,"M","NR","10B"
"655",837,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_160",8,1503,1511,0.00529450694904037,43,"M","NR","4B"
"660",843,"C03","kw97-4","ACTB","10B","ACTB_10B_S74_sort.bam","ACTB_36",410,19479,19889,0.0206144099753633,43,"M","NR","10B"
"661",844,"C03","kw97-4","ACTB","10B","ACTB_10B_S74_sort.bam","ACTB_49",361,20083,20444,0.0176579925650558,43,"M","NR","10B"
"662",845,"C03","kw97-4","ACTB","10B","ACTB_10B_S74_sort.bam","ACTB_51",4,20434,20438,0.000195713866327429,43,"M","NR","10B"
"667",854,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_45",28,1739,1767,0.0158460667798529,43,"M","NR","4B"
"672",859,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_132",14,1684,1698,0.00824499411071849,43,"M","NR","4B"
"673",860,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_148",3,1355,1358,0.00220913107511046,43,"M","NR","4B"
"674",861,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_151",26,1478,1504,0.0172872340425532,43,"M","NR","4B"
"675",862,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_154",1,1512,1513,0.000660938532716457,43,"M","NR","4B"
"676",863,"C03","kw97-4","NP","4B","NP_4B_S26_merge.bam","NP_157",2,1505,1507,0.0013271400132714,43,"M","NR","4B"
"677",864,"C03","kw97-4","CRF","4B","CRF_4B_S26_sort.bam","CRF_27",11,255,266,0.0413533834586466,43,"M","NR","4B"
"678",865,"C03","kw97-4","CRF","4B","CRF_4B_S26_sort.bam","CRF_33",21,246,267,0.0786516853932584,43,"M","NR","4B"
"679",869,"C03","kw97-4","CRF","4B","CRF_4B_S26_sort.bam","CRF_95",10,260,270,0.037037037037037,43,"M","NR","4B"
"680",870,"C03","kw97-4","CRF","4B","CRF_4B_S26_sort.bam","CRF_113",141,127,268,0.526119402985075,43,"M","NR","4B"
"702",893,"C03","kw97-4","CRF","4B","CRF_4B_S26_sort.bam","CRF_49",33,238,271,0.121771217712177,43,"M","NR","4B"
"704",895,"C03","kw97-4","CRF","4B","CRF_4B_S26_sort.bam","CRF_92",0,268,268,0,43,"M","NR","4B"
"708",903,"C03","kw97-4","ACTB","10B","ACTB_10B_S74_sort.bam","ACTB_71",0,20662,20662,0,43,"M","NR","10B"
"709",904,"C03","kw97-4","ACTB","10B","ACTB_10B_S74_sort.bam","ACTB_74",31,20636,20667,0.00149997580684183,43,"M","NR","10B"
"710",907,"C03","kw97-4","CRF","4B","CRF_4B_S26_sort.bam","CRF_73",9,262,271,0.033210332103321,43,"M","NR","4B"
"719",919,"D05","kw93-02","ACTB","10C","ACTB_10C_S75_sort.bam","ACTB_65",8,29468,29476,0.000271407246573484,30,"M","NR","10C"
"720",920,"D05","kw93-02","BDNF","4C","BDNF_4C_S27_sort.bam","BDNF_51",1125,13249,14374,0.0782663141783776,30,"M","NR","4C"
"722",922,"D05","kw93-02","BDNF","4C","BDNF_4C_S27_sort.bam","BDNF_57",129,14231,14360,0.00898328690807799,30,"M","NR","4C"
"723",923,"D05","kw93-02","CRF","4C","CRF_4C_S27_sort.bam","CRF_33",45,144,189,0.238095238095238,30,"M","NR","4C"
"724",924,"D05","kw93-02","ACTB","10C","ACTB_10C_S75_sort.bam","ACTB_49",706,28719,29425,0.0239932030586236,30,"M","NR","10C"
"727",927,"D05","kw93-02","CRF","4C","CRF_4C_S27_sort.bam","CRF_73",38,153,191,0.198952879581152,30,"M","NR","4C"
"728",928,"D05","kw93-02","CRF","4C","CRF_4C_S27_sort.bam","CRF_92",19,172,191,0.0994764397905759,30,"M","NR","4C"
"739",943,"D05","kw93-02","CRF","4C","CRF_4C_S27_sort.bam","CRF_113",117,71,188,0.622340425531915,30,"M","NR","4C"
"744",948,"D05","kw93-02","BDNF","4C","BDNF_4C_S27_sort.bam","BDNF_26",1031,13054,14085,0.0731984380546681,30,"M","NR","4C"
"745",949,"D05","kw93-02","ACTB","10C","ACTB_10C_S75_sort.bam","ACTB_71",512,28950,29462,0.017378317833141,30,"M","NR","10C"
"746",950,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_90",55,1784,1839,0.0299075584556824,30,"M","NR","4C"
"747",951,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_92",33,1803,1836,0.0179738562091503,30,"M","NR","4C"
"748",952,"D05","kw93-02","ACTB","10C","ACTB_10C_S75_sort.bam","ACTB_51",125,29283,29408,0.00425054406964091,30,"M","NR","10C"
"749",953,"D05","kw93-02","ACTB","10C","ACTB_10C_S75_sort.bam","ACTB_54",361,29083,29444,0.0122605624235838,30,"M","NR","10C"
"750",954,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_154",53,1555,1608,0.0329601990049751,30,"M","NR","4C"
"751",955,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_157",32,1578,1610,0.0198757763975155,30,"M","NR","4C"
"752",956,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_160",36,1574,1610,0.022360248447205,30,"M","NR","4C"
"760",965,"D05","kw93-02","CRF","4C","CRF_4C_S27_sort.bam","CRF_27",26,163,189,0.137566137566138,30,"M","NR","4C"
"762",967,"D05","kw93-02","BDNF","4C","BDNF_4C_S27_sort.bam","BDNF_37",464,13908,14372,0.0322849986084052,30,"M","NR","4C"
"763",968,"D05","kw93-02","BDNF","4C","BDNF_4C_S27_sort.bam","BDNF_45",574,13604,14178,0.0404852588517421,30,"M","NR","4C"
"765",970,"D05","kw93-02","CRF","4C","CRF_4C_S27_sort.bam","CRF_49",47,142,189,0.248677248677249,30,"M","NR","4C"
"768",973,"D05","kw93-02","CRF","4C","CRF_4C_S27_sort.bam","CRF_95",11,180,191,0.0575916230366492,30,"M","NR","4C"
"782",993,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_132",13,1777,1790,0.00726256983240223,30,"M","NR","4C"
"783",994,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_148",40,1436,1476,0.02710027100271,30,"M","NR","4C"
"784",995,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_151",2,1602,1604,0.00124688279301746,30,"M","NR","4C"
"787",998,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_165",8,1597,1605,0.00498442367601246,30,"M","NR","4C"
"790",1003,"D05","kw93-02","ACTB","10C","ACTB_10C_S75_sort.bam","ACTB_29",18,28601,28619,0.000628952793598658,30,"M","NR","10C"
"791",1004,"D05","kw93-02","ACTB","10C","ACTB_10C_S75_sort.bam","ACTB_36",232,28479,28711,0.00808052662742503,30,"M","NR","10C"
"792",1005,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_66",36,1825,1861,0.0193444384739387,30,"M","NR","4C"
"793",1006,"D05","kw93-02","ACTB","10C","ACTB_10C_S75_sort.bam","ACTB_74",176,29303,29479,0.00597035177584043,30,"M","NR","10C"
"794",1008,"D05","kw93-02","BDNF","4C","BDNF_4C_S27_sort.bam","BDNF_81",467,13865,14332,0.0325844264582752,30,"M","NR","4C"
"795",1009,"D05","kw93-02","BDNF","4C","BDNF_4C_S27_sort.bam","BDNF_48",273,14099,14372,0.0189952685777901,30,"M","NR","4C"
"801",1018,"D05","kw93-02","NP","4C","NP_4C_S27_merge.bam","NP_45",13,1848,1861,0.00698549167114455,30,"M","NR","4C"
"805",1027,"D08","kw93-04","BDNF","4D","BDNF_4D_S28_sort.bam","BDNF_57",6,10920,10926,0.000549148819330038,26,"F","NR","4D"
"807",1034,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_90",0,1638,1638,0,26,"F","NR","4D"
"808",1036,"D08","kw93-04","CRF","4D","CRF_4D_S28_sort.bam","CRF_49",38,184,222,0.171171171171171,26,"F","NR","4D"
"812",1041,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_45",0,1657,1657,0,26,"F","NR","4D"
"815",1047,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_92",1,1634,1635,0.000611620795107034,26,"F","NR","4D"
"816",1048,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_132",0,1602,1602,0,26,"F","NR","4D"
"817",1059,"D08","kw93-04","BDNF","4D","BDNF_4D_S28_sort.bam","BDNF_26",1970,8921,10891,0.180883298136076,26,"F","NR","4D"
"823",1069,"D08","kw93-04","BDNF","4D","BDNF_4D_S28_sort.bam","BDNF_81",10,10854,10864,0.000920471281296024,26,"F","NR","4D"
"827",1088,"D08","kw93-04","BDNF","4D","BDNF_4D_S28_sort.bam","BDNF_37",2031,8905,10936,0.185716898317484,26,"F","NR","4D"
"828",1089,"D08","kw93-04","BDNF","4D","BDNF_4D_S28_sort.bam","BDNF_45",4,10779,10783,0.000370954279885004,26,"F","NR","4D"
"829",1090,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_148",0,1323,1323,0,26,"F","NR","4D"
"830",1091,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_151",1,1437,1438,0.000695410292072323,26,"F","NR","4D"
"831",1092,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_154",27,1418,1445,0.0186851211072664,26,"F","NR","4D"
"832",1093,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_157",0,1448,1448,0,26,"F","NR","4D"
"834",1095,"D08","kw93-04","CRF","4D","CRF_4D_S28_sort.bam","CRF_73",49,172,221,0.221719457013575,26,"F","NR","4D"
"835",1096,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_165",1,1441,1442,0.000693481276005548,26,"F","NR","4D"
"836",1098,"D08","kw93-04","CRF","4D","CRF_4D_S28_sort.bam","CRF_113",90,131,221,0.407239819004525,26,"F","NR","4D"
"839",1103,"D08","kw93-04","BDNF","4D","BDNF_4D_S28_sort.bam","BDNF_48",15,10921,10936,0.00137161667885881,26,"F","NR","4D"
"840",1104,"D08","kw93-04","BDNF","4D","BDNF_4D_S28_sort.bam","BDNF_51",516,10417,10933,0.0471965608707583,26,"F","NR","4D"
"841",1105,"D08","kw93-04","CRF","4D","CRF_4D_S28_sort.bam","CRF_27",55,162,217,0.253456221198157,26,"F","NR","4D"
"845",1109,"D08","kw93-04","CRF","4D","CRF_4D_S28_sort.bam","CRF_92",18,203,221,0.081447963800905,26,"F","NR","4D"
"846",1110,"D08","kw93-04","CRF","4D","CRF_4D_S28_sort.bam","CRF_95",35,187,222,0.157657657657658,26,"F","NR","4D"
"848",1113,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_66",3,1653,1656,0.00181159420289855,26,"F","NR","4D"
"853",1118,"D08","kw93-04","NP","4D","NP_4D_S28_merge.bam","NP_160",1,1445,1446,0.000691562932226833,26,"F","NR","4D"
"855",1120,"D08","kw93-04","CRF","4D","CRF_4D_S28_sort.bam","CRF_33",60,162,222,0.27027027027027,26,"F","NR","4D"
"857",1123,"G02","kw98-04","CRF","4E","CRF_4E_S29_sort.bam","CRF_33",39,99,138,0.282608695652174,37,"F","NR","4E"
"858",1126,"G02","kw98-04","CRF","4E","CRF_4E_S29_sort.bam","CRF_49",21,118,139,0.151079136690647,37,"F","NR","4E"
"860",1129,"G02","kw98-04","CRF","4E","CRF_4E_S29_sort.bam","CRF_113",62,76,138,0.449275362318841,37,"F","NR","4E"
"861",1130,"G02","kw98-04","BDNF","4E","BDNF_4E_S29_sort.bam","BDNF_26",1571,11051,12622,0.124465219458089,37,"F","NR","4E"
"866",1136,"G02","kw98-04","CRF","4E","CRF_4E_S29_sort.bam","CRF_27",25,113,138,0.181159420289855,37,"F","NR","4E"
"869",1139,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_66",7,1386,1393,0.0050251256281407,37,"F","NR","4E"
"870",1140,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_90",7,1356,1363,0.00513573000733676,37,"F","NR","4E"
"871",1141,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_92",8,1353,1361,0.00587803085966201,37,"F","NR","4E"
"872",1142,"G02","kw98-04","CRF","4E","CRF_4E_S29_sort.bam","CRF_92",7,132,139,0.0503597122302158,37,"F","NR","4E"
"873",1143,"G02","kw98-04","CRF","4E","CRF_4E_S29_sort.bam","CRF_95",11,128,139,0.079136690647482,37,"F","NR","4E"
"877",1147,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_160",6,1135,1141,0.00525854513584575,37,"F","NR","4E"
"878",1148,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_165",6,1132,1138,0.00527240773286467,37,"F","NR","4E"
"881",1153,"G02","kw98-04","ACTB","10E","ACTB_10E_S77_sort.bam","ACTB_74",3,31336,31339,9.57273684546412e-05,37,"F","NR","10E"
"882",1155,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_132",7,1299,1306,0.00535987748851455,37,"F","NR","4E"
"885",1158,"G02","kw98-04","BDNF","4E","BDNF_4E_S29_sort.bam","BDNF_37",1053,11974,13027,0.0808321179089583,37,"F","NR","4E"
"886",1159,"G02","kw98-04","BDNF","4E","BDNF_4E_S29_sort.bam","BDNF_45",253,12529,12782,0.0197934595524957,37,"F","NR","4E"
"889",1162,"G02","kw98-04","BDNF","4E","BDNF_4E_S29_sort.bam","BDNF_81",10,12961,12971,0.000770950582067689,37,"F","NR","4E"
"900",1173,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_157",9,1131,1140,0.00789473684210526,37,"F","NR","4E"
"905",1178,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_45",22,1372,1394,0.0157819225251076,37,"F","NR","4E"
"910",1183,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_148",15,1034,1049,0.0142993326978074,37,"F","NR","4E"
"911",1184,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_151",18,1120,1138,0.015817223198594,37,"F","NR","4E"
"912",1185,"G02","kw98-04","NP","4E","NP_4E_S29_merge.bam","NP_154",45,1094,1139,0.0395083406496927,37,"F","NR","4E"
"914",1189,"G02","kw98-04","ACTB","10E","ACTB_10E_S77_sort.bam","ACTB_29",4,31002,31006,0.000129007288911824,37,"F","NR","10E"
"915",1190,"G02","kw98-04","ACTB","10E","ACTB_10E_S77_sort.bam","ACTB_54",9,31205,31214,0.000288332158646761,37,"F","NR","10E"
"916",1191,"G02","kw98-04","ACTB","10E","ACTB_10E_S77_sort.bam","ACTB_65",7,31333,31340,0.000223356732610083,37,"F","NR","10E"
"917",1192,"G02","kw98-04","ACTB","10E","ACTB_10E_S77_sort.bam","ACTB_71",7,31308,31315,0.000223535047102028,37,"F","NR","10E"
"925",1200,"G02","kw98-04","BDNF","4E","BDNF_4E_S29_sort.bam","BDNF_48",425,12600,13025,0.0326295585412668,37,"F","NR","4E"
"926",1201,"G02","kw98-04","BDNF","4E","BDNF_4E_S29_sort.bam","BDNF_51",813,12204,13017,0.0624567872781747,37,"F","NR","4E"
"927",1202,"G02","kw98-04","BDNF","4E","BDNF_4E_S29_sort.bam","BDNF_57",201,12799,13000,0.0154615384615385,37,"F","NR","4E"
"933",1208,"G02","kw98-04","CRF","4E","CRF_4E_S29_sort.bam","CRF_73",10,128,138,0.072463768115942,37,"F","NR","4E"
"936",1215,"G02","kw98-04","ACTB","10E","ACTB_10E_S77_sort.bam","ACTB_51",12,31176,31188,0.000384763370527126,37,"F","NR","10E"
"937",1217,"G02","kw98-04","ACTB","10E","ACTB_10E_S77_sort.bam","ACTB_36",13,31033,31046,0.000418733492237325,37,"F","NR","10E"
"939",1219,"G02","kw98-04","ACTB","10E","ACTB_10E_S77_sort.bam","ACTB_49",4,31181,31185,0.000128266794933462,37,"F","NR","10E"
"941",1227,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_132",50,1794,1844,0.027114967462039,37,"M","NR","4F"
"942",1228,"G06","kw96-05","CRF","4F","CRF_4F_S30_sort.bam","CRF_49",28,228,256,0.109375,37,"M","NR","4F"
"944",1233,"G06","kw96-05","CRF","4F","CRF_4F_S30_sort.bam","CRF_73",7,249,256,0.02734375,37,"M","NR","4F"
"945",1234,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_66",23,1900,1923,0.0119604784191368,37,"M","NR","4F"
"947",1236,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_92",30,1875,1905,0.015748031496063,37,"M","NR","4F"
"950",1239,"G06","kw96-05","BDNF","4F","BDNF_4F_S30_sort.bam","BDNF_26",1292,17071,18363,0.0703588738223602,37,"M","NR","4F"
"951",1240,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_151",80,1562,1642,0.048721071863581,37,"M","NR","4F"
"952",1241,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_154",21,1627,1648,0.0127427184466019,37,"M","NR","4F"
"953",1242,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_157",10,1639,1649,0.00606428138265616,37,"M","NR","4F"
"954",1243,"G06","kw96-05","ACTB","10F","ACTB_10F_S78_sort.bam","ACTB_65",4,23986,23990,0.000166736140058358,37,"M","NR","10F"
"955",1244,"G06","kw96-05","ACTB","10F","ACTB_10F_S78_sort.bam","ACTB_71",5,23977,23982,0.00020848970060879,37,"M","NR","10F"
"956",1245,"G06","kw96-05","ACTB","10F","ACTB_10F_S78_sort.bam","ACTB_74",5,23988,23993,0.000208394114950194,37,"M","NR","10F"
"957",1246,"G06","kw96-05","NP","4F","NP_4F_S30_merge.bam","NP_45",22,1903,1925,0.0114285714285714,37,"M","NR","4F"
